state_code,borders
AL,MS TN GA FL
AZ,CA NV UT CO NM
AR,MO TN MS LA TX OK
CA,OR NV AZ
CO,WY NE KS OK NM AZ UT
CT,NY MA RI
DE,MD PA NJ
FL,AL GA
GA,FL AL TN NC SC
ID,MT WY UT NV OR WA
IL,IN KY MO IA WI
IN,MI OH KY IL
IA,MN WI IL MO NE SD
KS,NE MO OK CO
KY,IN OH WV VA TN MO IL
LA,TX AR MS
ME,NH
MD,VA WV PA DE
MA,RI CT NY VT NH
MI,OH IN WI
MN,WI IA SD ND
MS,LA AR TN AL
MO,IA IL KY TN AR OK KS NE
MT,ND SD WY ID
NE,SD IA MO KS CO WY
NV,OR ID UT AZ CA
NH,VT ME MA
NJ,DE PA NY
NM,AZ UT CO OK TX
NY,NJ PA CT MA VT
NC,VA TN GA SC
ND,MN SD MT
OH,PA WV KY IN MI
OK,KS MO AR TX NM CO
OR,WA ID NV CA
PA,NY NJ DE MD WV OH
RI,CT MA
SC,GA NC
SD,ND MN IA NE WY MT
TN,KY VA NC GA AL MS AR MO
TX,NM OK AR LA
UT,ID WY CO NM AZ NV
VT,NY MA NH
VA,WV KY TN NC MD
WA,ID OR
WV,OH PA MD VA KY
WI,MI MN IA IL
WY,MT SD NE CO UT ID
