query_id,backend,median_ms,p25_ms,p75_ms,row_count,error
Q1,postgres,250.75,222.07,267.86,42,
Q1,mongodb,147.69,140.44,160.05,46,
Q1,neo4j,527.18,451.34,568.17,46,
Q2,postgres,17.79,17.49,18.01,50,
Q2,mongodb,5.63,5.36,5.81,50,
Q2,neo4j,11.38,11.0,13.95,50,
Q3,postgres,54.61,53.64,55.64,10,
Q3,mongodb,21.92,21.5,23.73,10,
Q3,neo4j,117.92,90.32,130.09,10,
Q4,postgres,86.16,83.64,88.75,12,
Q4,mongodb,242.91,233.76,243.28,12,
Q4,neo4j,103.39,100.52,104.72,12,
Q5,postgres,171.34,129.56,172.94,3257,
Q5,mongodb,126.51,105.66,144.36,3257,
Q5,neo4j,417.15,381.12,459.03,3206,
Q6,postgres,328.51,314.4,334.33,15,
Q6,mongodb,270.74,252.13,345.88,8,
Q6,neo4j,641.65,620.23,661.78,19,
Q7,postgres,118.0,111.8,120.43,51,
Q7,mongodb,94.76,85.37,99.15,51,
Q7,neo4j,206.02,172.72,212.84,51,
Q8,postgres,147.18,141.03,149.7,8,
Q8,mongodb,200.72,190.17,207.98,7,
Q8,neo4j,428.91,411.74,555.26,7,
Q9,postgres,575.59,523.86,582.18,50,
Q9,mongodb,298.41,263.33,302.67,50,
Q9,neo4j,1132.68,770.93,1487.55,50,
Q10,postgres,266.13,215.68,323.77,315,
Q10,mongodb,178.15,174.13,206.08,347,
Q10,neo4j,385.21,343.78,436.97,347,
Q11,neo4j,19811.04,18852.43,23467.26,50,
Q12,neo4j,252.28,250.49,259.54,51,
Q13,neo4j,165.31,159.2,171.38,8,
